ITEM,DATE,UNITS,PRICE
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/14/2009,13,1.39
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/21/2009,24,1.39
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/28/2009,7,1.36
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/4/2009,12,1.38
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/11/2009,16,1.5
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/18/2009,21,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/25/2009,11,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/4/2009,10,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/11/2009,13,1.39
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/18/2009,13,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/25/2009,18,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/1/2009,14,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/8/2009,5,1.5
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/15/2009,10,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/22/2009,27,1.21
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/29/2009,5,1.21
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/6/2009,20,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/13/2009,26,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/20/2009,18,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/27/2009,14,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/3/2009,10,1.22
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/10/2009,22,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/17/2009,14,1.65
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/24/2009,12,1.69
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/1/2009,4,1.69
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/8/2009,13,1.68
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/15/2009,15,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/22/2009,22,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/29/2009,8,1.23
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/5/2009,10,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/12/2009,15,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/19/2009,9,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/26/2009,16,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/2/2009,17,1.23
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/9/2009,21,1.22
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/16/2009,12,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/23/2009,14,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/30/2009,13,1.19
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/7/2009,20,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/14/2009,22,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/21/2009,24,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/28/2009,26,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/4/2009,28,1.5
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/11/2009,31,1.5
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/18/2009,19,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/25/2009,34,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),12/2/2009,26,1.49
