ITEM,DATE,UNITS,PRICE
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/14/2009,158,1.38
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/21/2009,140,1.38
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/28/2009,153,1.38
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/4/2009,183,1.38
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/11/2009,138,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/18/2009,146,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/25/2009,156,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/4/2009,159,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/11/2009,148,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/18/2009,186,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/25/2009,157,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/1/2009,171,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/8/2009,134,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/15/2009,100,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/22/2009,142,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/29/2009,122,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/6/2009,132,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/13/2009,138,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/20/2009,128,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),5/27/2009,127,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/3/2009,151,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/10/2009,129,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/17/2009,99,1.67
PL MINI TWIST PRETZELS 15 OZ (1111009477),6/24/2009,80,1.67
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/1/2009,84,1.68
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/8/2009,112,1.68
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/15/2009,124,1.23
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/22/2009,106,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),7/29/2009,112,1.22
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/5/2009,128,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/12/2009,139,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/19/2009,130,1.5
PL MINI TWIST PRETZELS 15 OZ (1111009477),8/26/2009,144,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/2/2009,148,1.5
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/9/2009,174,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/16/2009,161,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/23/2009,155,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),9/30/2009,156,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/7/2009,206,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/14/2009,168,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/21/2009,204,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),10/28/2009,175,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/4/2009,173,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/11/2009,160,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/18/2009,149,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),11/25/2009,152,1.47
PL MINI TWIST PRETZELS 15 OZ (1111009477),12/2/2009,154,1.45
PL MINI TWIST PRETZELS 15 OZ (1111009477),12/9/2009,194,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),12/16/2009,237,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),12/23/2009,286,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),12/30/2009,208,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/6/2010,160,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/13/2010,281,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/20/2010,209,1.24
PL MINI TWIST PRETZELS 15 OZ (1111009477),1/27/2010,223,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/3/2010,156,1.25
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/10/2010,175,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/17/2010,139,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),2/24/2010,144,1.49
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/3/2010,157,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/10/2010,156,1.44
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/17/2010,81,1.43
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/24/2010,155,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),3/31/2010,154,1.46
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/7/2010,129,1.45
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/14/2010,183,1.48
PL MINI TWIST PRETZELS 15 OZ (1111009477),4/21/2010,153,1.48
